2021-07-01 09:29:19: == Sync Started by User Command
2021-07-01 09:31:51: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_03.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_03.jpg' (60,620)
2021-07-01 09:31:51: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_04.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_04.jpg' (68,001)
2021-07-01 09:31:52: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_05.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_05.jpg' (58,801)
2021-07-01 09:31:54: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_06.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_06.jpg' (64,430)
2021-07-01 09:31:54: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_07.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_07.jpg' (81,032)
2021-07-01 09:31:55: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_08.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_08.jpg' (71,498)
2021-07-01 09:31:58: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_09.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_09.jpg' (79,814)
2021-07-01 09:31:59: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_10.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_10.jpg' (51,548)
2021-07-01 09:31:59: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_01.jpg' (131,538)
2021-07-01 09:32:01: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_02.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_02.jpg' (184,331)
2021-07-01 09:32:03: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_03.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_03.jpg' (126,077)
2021-07-01 09:32:03: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_04.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_04.jpg' (160,028)
